itemName,quantity,cost,totalPrice
Antwerp 2022 Champions Autograph Capsule,20,0.25,5
Antwerp 2022 Contenders Autograph Capsule,20,0.25,5
Antwerp 2022 Challengers Autograph Capsule,20,0.25,5
Antwerp 2022 Legends Autograph Capsule,20,0.25,5
Antwerp 2022 Contenders Sticker Capsule,20,0.25,5
Antwerp 2022 Challengers Sticker Capsule,20,0.25,5
Antwerp 2022 Legends Sticker Capsule,20,0.25,5
Sticker | FaZe Clan (Glitter) | Antwerp 2022,4,0.28,1.12
Sticker | FaZe Clan (Holo) | Antwerp 2022,1,1.65,1.65
Sticker | Copenhagen Flames (Glitter) | Antwerp 2022,5,0.09,0.44999999999999996
Sticker | Ninjas in Pyjamas (Glitter) | Antwerp 2022,7,0.07,0.49000000000000005
Sticker | Natus Vincere (Glitter) | Antwerp 2022,5,0.35,1.75
Sticker | Cloud9 (Glitter) | Antwerp 2022,6,0.64,3.84
Sticker | FURIA (Glitter) | Antwerp 2022,20,0.15,3
Sticker | Heroic (Glitter) | Antwerp 2022,4,0.11,0.44
Sticker | Heroic (Holo) | Antwerp 2022,4,0.47,1.88
Sticker | Natus Vincere (Holo) | Antwerp 2022,1,2.03,2.03
Sticker | G2 Esports (Holo) | Antwerp 2022,1,2,2
Sticker | G2 Esports (Glitter) | Antwerp 2022,2,0.47,0.94
Sticker | Astralis (Holo) | Antwerp 2022,2,1.27,2.54
Sticker | Astralis (Glitter) | Antwerp 2022,4,0.27,1.08
Sticker | Imperial Esports | Antwerp 2022,4,.14,0.56
Sticker | MIBR (Glitter) | Antwerp 2022,6,0.07,0.42000000000000004
Sticker | Bad News Eagles (Glitter) |  Antwerp 2022,20,0.19,3.8
Sticker | Imperial Esports (Glitter) | Antwerp 2022,10,0.6,6
Sticker | Vitality (Glitter) | Antwerp 2022,11,0.12,1.3199999999999998
Sticker | Outsiders (Glitter) | Antwerp 2022,1,0.01,0
Sticker | Team Spirit (Glitter) | Antwerp 2022,2,0.52,1.04
Sticker | Eternal Fire (Glitter) | Antwerp 2022,2,0.36,0.72
Sticker | 9z Team | Antwerp 2022,5,0.04,0.2
Sticker | Team Liquid | Antwerp 2022,5,0.03,0.15
Sticker | Complexity Gaming (Glitter) | Antwerp 2022,5,0.24,1.2
Sticker | Eternal Fire (Glitter) | Antwerp 2022,3,0.34,1.02
Sticker | Team Spirit (Glitter) | Antwerp 2022,5,0.51,2.55
Sticker | 9z Team (Glitter) | Antwerp 2022,5,0.36,1.7999999999999998
Sticker | Team Liquid (Glitter) | Antwerp 2022,10,0.14,1.4000000000000001
Sticker | IHC Esports (Gold) | Antwerp 2022,1,0.01,0
Sticker | XANTARES (Holo) | Antwerp 2022,1,1.8,1.8
Sticker | nin9 (Holo) | Antwerp 2022,4,1.03,4.12
Sticker | rox (Glitter) | Antwerp 2022,7,0.74,5.18
